Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
KYR49,-84.985548,37.745986,961.153937607566,976.3184242223967,0.5675113581096237,0.6435059219926298
KYR50,-84.238206,37.556901,959.7437657719951,987.2519994989452,0.33641725467502265,0.3712687709479939
KYR51,-83.413268,37.577898,988.755268357054,1039.768499137718,0.30638644690053485,0.31342743942328727
KYR52,-82.639401,37.456941,1042.1027600086659,1133.0433009430176,0.18876799786074613,0.17242170105310672
KYS46,-87.625126,37.470098,888.4867220085956,891.2878429218005,0.5054697943209708,0.603104673031621
KYS47,-86.831384,37.291672,885.3487283357936,880.0589990503389,0.35867099637451366,0.4155539727978854
KYS48,-86.061067,37.2039,890.0438424627607,889.7611202192613,0.3019928575896167,0.35076063496780985
KYS49,-85.339776,37.286879,912.7899425617748,936.345159783546,0.409782980404245,0.48476057982428467
KYS50,-84.434255,37.072808,905.1046696787712,970.6162644363081,0.11187402491947208,0.11702636660202739
KYS51,-83.670698,37.003046,927.0147344170388,1020.1878914337565,0.3433201630239081,0.32329347175792195
KYS52,-82.991733,36.995992,980.0060600963748,1037.3444131651497,0.16134285172159923,0.14173337393244034
KYT45,-88.528482,36.893573,820.8444360619633,807.8018221019826,0.6808194274956832,0.6666943967903411
KYT47,-87.027957,36.685737,819.9014949166063,805.8513915982566,1.0348199551176909,1.2652201700874657
KYT48,-86.224549,36.65621,828.9020569340014,836.1990088989676,0.42758447288638063,0.536566006794789
LCU55,-80.941053,35.646664,1011.1290587471565,1000.4193600549498,7.884460692181205,7.261279274985712
M2E13,-114.211,46.41525,1523.7887991687776,1718.327902501192,0.1964656225975939,0.23019381786384474
MAG62,-70.904619,42.657885,1802.8349456355745,1982.6584398722537,5.98286586313807,7.093173499238361
MAH60,-73.043227,42.380135,1767.6911632063968,2050.9852325528714,8.214376122015361,8.052744496784147
MAH63,-70.548935,41.886995,1735.1765731691285,1923.847205783616,2.7888650003301216,2.3744844479477827
MAH64,-70.019214,41.746855,1711.6072181771533,1903.0705466606173,6.059567458523824,7.671471171930521
MBB01,-120.403,35.8805,543.7032586858302,701.0531085806814,0.8516931893438655,0.8355979770049772
MBB02,-123.282,44.6685,961.9947481823555,1281.0861092176772,0.4668493984613485,0.5157963857576805
MBB03,-93.0241,37.0289,780.738869056209,797.5000376579163,1.9801802054499202,1.872122532137872
MBB04,-106.853,34.0298,545.4492375935789,685.9141732452972,0.2909121433771695,0.2642350962196701
MBB05,-80.574,37.2085,1213.8274849672025,1312.0787780231778,0.2619303311833155,0.1695238328674879
MBB06,-106.259,46.6962,1519.6904780267885,1690.2768090146874,0.2639738005383903,0.32849340564654045
MBB07,-95.8865,48.3926,1918.2700750253696,2228.7312421429174,1.8438864471319374,1.873892872910382
MDN55,-79.103028,39.6201,1234.2697793062346,1265.5791597393638,0.2637819666949301,0.16281448151815459
MDN59,-75.926933,38.986782,1399.9202455050856,1425.354548451178,0.659027255463277,0.6164198001310885
MDO59,-76.166835,38.453597,1465.0487248268728,1578.1304022483573,1.123295690737436,0.9498581586329415
MDO60,-75.422195,38.353916,1432.6766051181353,1528.7731000720376,0.20414240762460806,0.15108885378953113
MEA60,-70.072728,46.255905,1877.182393411753,2242.126583532443,0.8179053013258343,0.9062698830372389
